ticker,close,best_rule,grade,score,trades,win,avg_ret,baseline,edge,t_stat,edge_is,edge_oos,n_oos,yearly,years,mae,worst,status,trigger_price,gap_to_trigger,rsi,pctb,vs_sma50,vs_sma200,off_52w_high,ret_1m,ret_3m,ret_12m,vol,beta,corr_spy,max_dd_1y,n_bars,wf_folds,wf_positive_frac,edge_lo,edge_hi,win_lo,win_hi,edge_hc,kelly_frac,kelly_dollars,bh_total,bh_cagr,bb_5d_n,bb_5d_win,bb_5d_edge,bb_10d_n,bb_10d_win,bb_10d_edge,bb_20d_n,bb_20d_win,bb_20d_edge,50-day_5d_n,50-day_5d_win,50-day_5d_edge,50-day_10d_n,50-day_10d_win,50-day_10d_edge,50-day_20d_n,50-day_20d_win,50-day_20d_edge,10%_5d_n,10%_5d_win,10%_5d_edge,10%_10d_n,10%_10d_win,10%_10d_edge,10%_20d_n,10%_20d_win,10%_20d_edge,group,is_position,short_pct_float,days_to_cover,insider_net_shares,put_call,earnings_date,earnings_in_hold
SPY,765.7500,BB dip,No,3,29,0.6207,0.0064,0.0058,0.0006,0.0727,0.0018,-0.0012,13,0.6250,8,-0.0276,-0.1545,Armed,754.6818,-0.0145,52.3993,0.5831,0.0083,0.0719,-0.0131,0.0023,0.0454,0.1671,0.1297,1.0000,1.0000,-0.0888,2513,5,0.6000,-0.0141,0.0124,0.4828,0.7586,-0.0014,0.1012,10115.2543,3.1853,0.1540,36,0.6389,0.0025,29,0.6207,0.0006,26,0.7692,0.0004,75,0.5467,-0.0020,51,0.6863,0.0031,38,0.7632,0.0005,1,1.0000,0.0432,1,1.0000,0.0466,1,1.0000,0.0562,"Index ETFs (SPY, VOO, QQQ)",True,,,,1.0341,,False
VOO,705.5700,BB dip,No,3,29,0.6207,0.0071,0.0058,0.0013,0.1614,0.0031,-0.0012,13,0.6250,8,-0.0274,-0.1542,Armed,695.6658,-0.0140,52.8212,0.6084,0.0088,0.0728,-0.0131,0.0053,0.0473,0.1613,0.1292,0.9947,0.9996,-0.0890,2512,5,0.6000,-0.0134,0.0133,0.4828,0.7586,-0.0007,0.1087,10874.6366,3.2125,0.1548,36,0.6389,0.0024,29,0.6207,0.0013,26,0.7692,0.0005,74,0.5541,-0.0022,52,0.6731,0.0024,38,0.7632,0.0005,1,1.0000,0.0438,1,1.0000,0.0470,1,1.0000,0.0564,"Index ETFs (SPY, VOO, QQQ)",True,,,,1.0194,,False
MU,1064.0900,BB dip,No,3,21,0.6667,0.0356,0.0196,0.0160,0.9855,0.0075,0.0309,8,0.5714,7,-0.0706,-0.0920,Armed,902.5700,-0.1518,60.9548,0.8746,0.1360,0.6203,-0.1230,0.1405,-0.1230,5.4047,0.8155,3.3463,0.5321,-0.3910,2513,5,0.8000,-0.0097,0.0428,0.4762,0.8095,0.0140,0.2305,23054.6335,61.8583,0.5134,26,0.6923,0.0076,21,0.6667,0.0160,19,0.6316,0.0257,65,0.5538,-0.0017,47,0.5745,0.0022,31,0.5806,0.0023,118,0.5593,-0.0013,73,0.5753,0.0043,43,0.5349,-0.0060,"Semiconductors and memory (NVDA, MU)",True,0.0264,0.9500,-337619.0000,0.7224,2026-09-30,True
NVDA,223.4199,BB dip,No,3,21,0.7619,0.0340,0.0223,0.0117,0.6018,-0.0127,0.0305,11,0.8333,6,-0.0725,-0.1949,Armed,212.8922,-0.0471,53.6392,0.5765,0.0372,0.1232,-0.0501,0.0498,0.1427,0.2551,0.3773,1.8983,0.6524,-0.2021,2513,4,0.7500,-0.0218,0.0403,0.5714,0.9048,0.0097,0.2251,22507.8238,140.5445,0.6415,26,0.5385,0.0015,21,0.7619,0.0117,21,0.8571,0.0230,92,0.6087,0.0030,64,0.5625,0.0010,45,0.6667,-0.0040,101,0.6040,0.0054,64,0.6562,0.0001,40,0.7500,0.0064,"Semiconductors and memory (NVDA, MU)",True,0.0129,2.3300,-6198325.0000,0.4924,2026-11-17,False
GOOGL,341.3200,BB dip,No,3,25,0.6000,0.0117,0.0097,0.0019,0.1631,-0.0088,0.0101,13,0.7143,7,-0.0444,-0.1514,Armed,331.8878,-0.0276,47.8344,0.4771,-0.0087,0.0108,-0.1512,-0.0156,-0.0063,0.3598,0.3169,1.3578,0.5555,-0.2105,2513,5,0.8000,-0.0187,0.0207,0.4400,0.7600,-0.0001,0.1182,11819.9236,7.5858,0.2401,30,0.5667,-0.0030,25,0.6000,0.0019,22,0.7273,-0.0017,61,0.6066,0.0025,45,0.5778,0.0008,35,0.6000,-0.0012,64,0.5469,0.0039,39,0.5641,0.0038,22,0.4091,-0.0146,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",True,0.0132,3.0100,0.0000,0.3618,2026-10-28,False
META,769.9050,BB dip,No,3,22,0.6364,0.0150,0.0092,0.0059,0.3939,0.0083,0.0033,8,0.5000,8,-0.0481,-0.1629,Armed,555.2567,-0.2788,79.8420,0.9963,0.2551,0.2319,0.0000,0.3517,0.4193,0.0227,0.4125,1.4380,0.4521,-0.3077,2513,5,0.6000,-0.0194,0.0286,0.4545,0.8182,0.0039,0.1358,13580.1255,5.1054,0.1985,27,0.5185,0.0005,22,0.6364,0.0059,18,0.8333,0.0260,70,0.5857,0.0019,45,0.6222,0.0035,36,0.7222,0.0092,62,0.5645,-0.0038,40,0.5750,-0.0071,28,0.6071,-0.0022,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",True,0.0131,1.7700,-165808.0000,0.5867,2026-10-28,False
AMZN,248.9800,BB dip,No,2,24,0.5417,0.0103,0.0082,0.0022,0.1842,-0.0040,0.0092,11,0.6250,8,-0.0443,-0.0847,Armed,247.2195,-0.0071,43.8236,0.1952,-0.0281,0.0343,-0.1234,-0.0463,0.0968,0.1281,0.3435,1.4401,0.5437,-0.2174,2513,5,0.4000,-0.0154,0.0204,0.3750,0.7083,0.0002,0.1006,10058.2811,5.2310,0.2009,30,0.4667,0.0006,24,0.5417,0.0022,22,0.5909,0.0048,80,0.4625,-0.0037,53,0.5283,-0.0061,34,0.5000,-0.0146,69,0.5362,-0.0002,43,0.6047,-0.0024,26,0.5000,0.0004,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",True,0.0094,2.1600,-1477012.0000,0.4697,2026-10-29,False
MSFT,495.1600,BB dip,No,2,20,0.6500,0.0136,0.0095,0.0041,0.3691,0.0170,-0.0201,7,0.5000,8,-0.0358,-0.0886,Armed,489.5142,-0.0114,52.6710,0.3297,0.0468,0.1503,-0.0790,0.0070,0.4060,-0.0196,0.3250,0.9537,0.3806,-0.3450,2513,4,0.5000,-0.0136,0.0223,0.4500,0.8000,0.0021,0.1581,15813.3140,8.8002,0.2566,24,0.6250,0.0056,20,0.6500,0.0041,17,0.7647,0.0174,79,0.5696,-0.0008,55,0.5636,-0.0001,38,0.6579,0.0102,45,0.5111,-0.0010,30,0.5333,-0.0030,18,0.3889,-0.0193,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",True,0.0100,2.4900,-166771.0000,0.5444,2026-10-28,False
BE,262.9650,50-day pullback,No,1,28,0.4643,0.0323,0.0290,0.0033,0.0792,0.0492,-0.0414,16,0.3333,6,-0.1404,-0.3232,Armed,241.8111,-0.0804,54.6375,0.6018,0.1535,0.3015,-0.2397,0.2093,-0.1495,2.3984,1.1388,4.2518,0.4842,-0.5265,2053,4,0.2500,-0.0626,0.0692,0.3214,0.6071,0.0013,0.0719,7188.1832,9.5186,0.3339,16,0.5625,-0.0341,14,0.5714,0.0369,12,0.5000,0.0355,41,0.5366,0.0021,28,0.4643,0.0033,18,0.4444,-0.0363,145,0.5034,-0.0030,80,0.4625,-0.0085,45,0.5778,0.0008,Power and clean energy (BE),True,0.0743,1.4700,-308242.0000,0.5422,2026-10-27,False
SDS,54.0000,10% drawdown,n/a (decay),1,19,0.3684,-0.0152,-0.0102,-0.0050,-0.2426,0.0061,-0.0241,7,0.0000,4,-0.0738,-0.1846,Trend filter off,53.9190,-0.0015,44.6155,0.2662,-0.0227,-0.1291,-0.3164,-0.0162,-0.0830,-0.2245,0.2577,-1.9814,-0.9982,-0.3321,2512,3,0.3333,-0.0357,0.0294,0.2105,0.5263,-0.0070,0.0000,0.0000,-0.9597,-0.2748,3,0.3333,-0.0015,2,0.0000,-0.0630,2,0.0000,-0.0746,12,0.4167,0.0096,7,0.2857,-0.0003,5,0.2000,-0.0399,32,0.4375,-0.0077,19,0.3684,-0.0050,11,0.2727,-0.0103,Inverse ETFs (SDS),True,,,,0.2404,,False
QQQ,737.8800,10% drawdown,No,1,12,0.8333,0.0370,0.0077,0.0293,1.7907,0.0149,0.0743,3,,3,-0.0267,-0.1083,Armed,672.7140,-0.0883,61.0608,0.8750,0.0376,0.1121,-0.0128,0.0393,0.0311,0.2393,0.1990,1.4259,0.9291,-0.1196,2513,2,,0.0015,0.0531,0.6667,1.0000,0.0273,0.2500,25000.0000,5.7291,0.2102,33,0.5455,-0.0034,26,0.5769,0.0003,23,0.6957,0.0027,73,0.5342,-0.0059,53,0.5660,-0.0060,36,0.6667,-0.0058,16,0.8750,0.0234,12,0.8333,0.0293,10,0.8000,0.0446,"Index ETFs (SPY, VOO, QQQ)",True,,,,0.8499,,False
KLAC,185.2200,BB dip,Consistent,5,25,0.7600,0.0522,0.0155,0.0367,2.2056,0.0233,0.0529,11,0.7143,7,-0.0373,-0.0757,Armed,166.7989,-0.0995,52.0732,0.7653,-0.0257,0.0587,-0.3854,0.0201,-0.2289,0.7383,0.6055,2.7818,0.5965,-0.4447,2512,5,0.8000,0.0091,0.0653,0.6400,0.8800,0.0347,0.2500,25000.0000,30.4442,0.4121,31,0.6129,0.0189,25,0.7600,0.0367,21,0.7143,0.0574,79,0.5696,-0.0053,56,0.6429,0.0078,39,0.5641,0.0029,111,0.6396,0.0050,69,0.6087,0.0108,44,0.6591,0.0228,"Semiconductors and memory (NVDA, MU)",False,0.0251,3.0300,-386605.0000,1.5220,2026-10-28,False
ASML,1717.8450,50-day pullback,No,4,46,0.6087,0.0332,0.0128,0.0204,1.7356,0.0140,0.0276,21,0.6667,9,-0.0441,-0.1004,Armed,1717.8450,0.0000,52.0614,0.6550,-0.0008,0.1337,-0.1354,-0.0128,-0.0242,0.8053,0.4636,2.2077,0.6182,-0.2195,2512,5,0.8000,0.0017,0.0389,0.4783,0.7174,0.0184,0.2024,20243.8145,16.3411,0.3304,28,0.6071,-0.0034,23,0.5217,0.0043,20,0.6000,-0.0119,70,0.5571,0.0042,46,0.6087,0.0204,31,0.7097,0.0416,84,0.5714,0.0021,55,0.6182,0.0095,36,0.7222,0.0187,"Semiconductors and memory (NVDA, MU)",False,0.0040,1.2600,,0.7593,2026-10-14,False
SMH,595.5000,BB dip,No,4,27,0.7407,0.0350,0.0122,0.0228,1.4140,0.0081,0.0400,12,0.8571,7,-0.0412,-0.1404,Armed,535.4697,-0.1008,58.8855,0.8639,0.0539,0.2103,-0.1097,0.0714,-0.0650,0.8569,0.3986,2.3775,0.7735,-0.2462,2513,5,0.8000,-0.0034,0.0487,0.5926,0.8889,0.0208,0.2429,24290.7974,18.6984,0.3475,32,0.5938,0.0021,27,0.7407,0.0228,24,0.8333,0.0325,88,0.6136,0.0016,59,0.6102,-0.0014,39,0.6410,-0.0034,65,0.6000,-0.0002,39,0.6410,0.0097,25,0.6400,0.0043,"Semiconductors and memory (NVDA, MU)",False,,,,0.4180,,False
AAPL,336.7600,10% drawdown,No,4,37,0.7027,0.0252,0.0116,0.0135,1.4883,0.0034,0.0300,14,0.8571,7,-0.0455,-0.1110,Armed,305.8082,-0.0919,62.5616,0.7589,0.0471,0.1731,-0.0089,0.0867,0.2250,0.3285,0.2446,0.6696,0.3549,-0.1380,2513,4,0.7500,-0.0010,0.0278,0.5946,0.8108,0.0115,0.2324,23238.9813,12.0456,0.2931,35,0.4857,-0.0028,29,0.5172,-0.0005,24,0.6667,-0.0113,66,0.4848,-0.0055,49,0.4694,-0.0096,36,0.6389,0.0026,60,0.6167,0.0046,37,0.7027,0.0135,24,0.7083,0.0089,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",False,0.0096,2.9700,-406507.0000,0.6726,2026-10-29,False
VST,138.4500,BB dip,No,4,17,0.6471,0.0342,0.0120,0.0222,0.6811,0.0144,0.0327,7,0.6000,5,-0.0583,-0.2228,Trend filter off,135.2892,-0.0228,42.6485,0.2774,-0.0496,-0.1085,-0.3396,-0.0025,-0.1734,-0.3182,0.4859,1.4471,0.3862,-0.3593,2506,4,0.7500,-0.0251,0.0765,0.4706,0.8235,0.0202,0.2050,20502.6966,11.2315,0.2856,21,0.5238,-0.0064,17,0.6471,0.0222,14,0.5000,0.0546,66,0.5455,-0.0072,46,0.5652,-0.0075,33,0.6364,-0.0043,76,0.5658,0.0038,48,0.6042,0.0075,30,0.5000,-0.0025,Power and clean energy (BE),False,0.0372,2.3700,-112367.0000,0.3516,2026-11-05,False
