ticker,name,sector,close,chg1d,long_score,fade_score,trend,respect_profile,rsi,pctb,bandwidth,atr_pct,relvol,pos52,vs_sma20,vs_sma50,vs_sma200,macd_hist,support_level,support_dist_atr,support_rate,support_n,support_base,support_score,resist_level,resist_dist_atr,resist_base,resist_rate,resist_n,resist_score,long_raw,fade_raw,rs_1m,rs_3m,weekly_trend,vol_confirm,broken_level,broken_rate,broken_n,broken_dist_atr,broken_base,sma20_sup_rate,sma20_sup_base,sma20_sup_n,sma20_res_rate,sma20_res_base,sma20_res_n,sma50_sup_rate,sma50_sup_base,sma50_sup_n,sma50_res_rate,sma50_res_base,sma50_res_n,sma100_sup_rate,sma100_sup_base,sma100_sup_n,sma100_res_rate,sma100_res_base,sma100_res_n,sma200_sup_rate,sma200_sup_base,sma200_sup_n,sma200_res_rate,sma200_res_base,sma200_res_n,bb_lower_sup_rate,bb_lower_sup_base,bb_lower_sup_n,bb_upper_res_rate,bb_upper_res_base,bb_upper_res_n
ARE,Alexandria Real Estate Equities,Real Estate,51.5700,-0.0056,64.2169,5.1000,Up,SMA50 69% vs 53% (n=56) | SMA200 68% vs 53% (n=27),48.6947,0.3833,0.1069,0.0373,0.0601,0.2905,-0.0125,0.0088,0.0443,-0.0564,SMA50,0.2345,0.6851,56,0.5270,66.7178,,,,,0,0.0000,64.2169,5.1000,-0.0516,-0.0278,Up,False,,,0,,,0.6056,0.5270,87,0.6292,0.7029,99,0.6851,0.5270,56,0.5687,0.7029,66,0.6161,0.5270,40,0.6632,0.7029,50,0.6809,0.5270,27,0.5338,0.7029,20,0.6847,0.5915,90,0.6421,0.6466,67
BALL,Ball Corporation,Materials,58.2250,-0.0101,61.2969,14.0000,Mixed,BB lower 73% vs 58% (n=85) | SMA100 79% vs 64% (n=40),30.0143,0.0260,0.1068,0.0195,0.0779,0.5986,-0.0506,-0.0665,-0.0202,-0.3067,BB lower,0.1493,0.7340,85,0.5811,68.8385,,,,,0,0.0000,61.2969,14.0000,-0.0992,-0.0895,Down,False,SMA200,0.7139,26,-1.0572,0.6041,0.5833,0.6041,91,0.6140,0.6404,93,0.6003,0.6041,55,0.6394,0.6404,61,0.6227,0.6041,32,0.7855,0.6404,40,0.7139,0.6041,26,0.6067,0.6404,20,0.7340,0.5811,85,0.6544,0.6644,78
IT,Gartner,Information Technology,176.9400,-0.0089,59.8859,5.1000,Up,SMA200 87% vs 59% (n=25),45.3000,0.2338,0.1961,0.0473,0.0601,0.3721,-0.0522,0.0092,0.0127,-1.9275,SMA200,0.2658,0.8740,25,0.5864,82.2785,,,,,0,0.0000,59.8859,5.1000,-0.1334,0.3088,Mixed,False,,,0,,,0.5535,0.5864,96,0.6124,0.6564,95,0.5675,0.5864,53,0.6660,0.6564,60,0.6670,0.5864,28,0.6360,0.6564,30,0.8740,0.5864,25,0.3487,0.6564,15,0.6702,0.6624,85,0.6335,0.6198,82
LYB,LyondellBasell,Materials,61.3000,0.0222,59.0187,5.1000,Up,SMA200 80% vs 63% (n=29),44.2549,0.1575,0.1063,0.0335,0.1080,0.5146,-0.0364,-0.0153,0.0144,-0.5977,SMA200,0.4228,0.8034,29,0.6280,62.9715,,,,,0,0.0000,59.0187,5.1000,-0.0658,0.0562,Mixed,False,,,0,,,0.6410,0.6280,106,0.5795,0.6213,109,0.5888,0.6280,75,0.6207,0.6213,58,0.5787,0.6280,47,0.6872,0.6213,52,0.8034,0.6280,29,0.5221,0.6213,18,0.7165,0.6965,92,0.7073,0.6955,89
CB,Chubb Limited,Financials,338.4250,0.0096,56.0546,6.0000,Up,SMA100 85% vs 66% (n=51),46.7686,0.4172,0.0332,0.0153,0.1321,0.7411,-0.0028,-0.0172,0.0348,-0.0263,SMA100,0.3808,0.8484,51,0.6648,68.4619,,,,,0,0.0000,56.0546,6.0000,-0.0244,-0.0346,Down,False,,,0,,,0.6894,0.6648,113,0.5925,0.6635,95,0.6792,0.6648,75,0.6196,0.6635,60,0.8484,0.6648,51,0.5372,0.6635,27,0.6563,0.6648,29,0.6663,0.6635,30,0.7604,0.7684,75,0.7110,0.7025,97
MCK,McKesson Corporation,Health Care,892.8050,0.0140,55.2958,5.1000,Up,SMA50 84% vs 67% (n=65) | SMA20 78% vs 67% (n=108),53.1713,0.4799,0.0610,0.0245,0.1167,0.6358,-0.0012,0.0253,0.0583,-3.2138,SMA20,-0.0501,0.7829,108,0.6717,53.7532,,,,,0,0.0000,55.2958,5.1000,0.0169,0.1185,Up,False,,,0,,,0.7829,0.6717,108,0.4088,0.5967,85,0.8360,0.6717,65,0.4456,0.5967,44,0.6674,0.6717,24,0.6210,0.5967,24,0.7048,0.6717,14,0.4617,0.5967,12,0.8114,0.7790,59,0.6577,0.5867,106
KHC,Kraft Heinz,Consumer Staples,23.9050,0.0048,54.5719,6.0000,Up,BB lower 74% vs 63% (n=80),39.9059,0.0844,0.0790,0.0268,0.0915,0.4881,-0.0328,-0.0463,0.0276,-0.0988,BB lower,0.2575,0.7444,80,0.6321,46.5029,,,,,0,0.0000,54.5719,6.0000,-0.0598,0.0113,Down,False,,,0,,,0.5830,0.6385,93,0.7284,0.6418,97,0.6602,0.6385,65,0.5795,0.6418,66,0.5990,0.6385,42,0.7012,0.6418,51,0.7177,0.6385,33,0.5626,0.6418,29,0.7444,0.6321,80,0.6385,0.6172,86
AJG,Arthur J. Gallagher & Co.,Financials,229.0300,-0.0027,54.3478,14.0000,Mixed,SMA200 83% vs 67% (n=16) | BB upper 72% vs 60% (n=99),33.3228,0.0562,0.1914,0.0304,0.1290,0.3277,-0.0849,-0.0913,-0.0139,-2.8656,SMA200,-0.4635,0.8331,16,0.6653,57.9525,,,,,0,0.0000,54.3478,14.0000,-0.1616,-0.0072,Down,False,,,0,,,0.6873,0.6653,109,0.5758,0.5685,92,0.6380,0.6653,66,0.6487,0.5685,55,0.6898,0.6653,39,0.5632,0.5685,32,0.8331,0.6653,16,0.4482,0.5685,10,0.7333,0.6822,72,0.7223,0.5994,99
ALL,Allstate,Financials,229.7700,0.0182,53.7873,6.0000,Up,SMA200 81% vs 69% (n=40) | BB lower 84% vs 72% (n=71),30.5086,-0.1092,0.1501,0.0273,0.1560,0.4943,-0.0914,-0.1034,0.0340,-3.1612,BB lower,-0.6599,0.8383,71,0.7183,33.6047,,,,,0,0.0000,53.7873,6.0000,-0.1192,-0.0595,Down,False,,,0,,,0.6497,0.6902,108,0.5692,0.5882,95,0.6638,0.6902,80,0.5882,0.5882,68,0.5785,0.6902,63,0.5916,0.5882,49,0.8127,0.6902,40,0.3741,0.5882,21,0.8383,0.7183,71,0.6440,0.6158,93
GL,Globe Life,Financials,169.8300,0.0064,53.4001,6.0000,Up,SMA200 81% vs 66% (n=29) | SMA50 76% vs 66% (n=65),41.3100,0.1549,0.0459,0.0200,0.1135,0.6632,-0.0158,-0.0393,0.0888,-0.0775,SMA100,-0.0766,0.7623,48,0.6597,48.6803,,,,,0,0.0000,53.4001,6.0000,-0.0250,-0.0787,Down,False,,,0,,,0.6717,0.6597,122,0.5338,0.6287,100,0.7629,0.6597,65,0.6174,0.6287,60,0.7623,0.6597,48,0.5151,0.6287,30,0.8072,0.6597,29,0.5006,0.6287,19,0.7792,0.7797,77,0.6670,0.6774,117
